# 版本：v1.6.1
abnormal 反常的；异常的
absence 不在，缺席；缺乏，不存在
absent 不在场的；缺席的；缺乏的
absorb 吸收；吸引……的注意；使全神贯注
academic 学校的；学术的；普通文化课的
accomodate 向……提供住处（或膳宿）；容纳
accompany 陪伴，陪同；为……伴奏（或伴唱）；伴随；
accomplish 达到；完成；实现
accustom 使习惯于
acknowledge 承认；告知（或确认）（信体等）收到；对……表示感谢
adequate 足够的；恰当的
adolescent （尤指16岁以下）青少年
adorable 讨人喜欢的；可爱的
advocate 拥护；提倡；主张
affair 事务；事件
aggressive 侵犯的，侵略的；积极进取的
alcohol 含酒精的饮料；酒；酒精；乙醇
alternative 供选择的
amateur 业余爱好者
amazing 令人大为惊奇的；太棒了
ambition 强烈欲望；志向
ambulance 救护车
analyze 分析
ancestor 祖先；先驱；原型
anniversary 周年的；每年的
announcement 宣布，宣告；通告
annual 每年的；年度的
anticipate 期待；预期；预料
antipollution 防止（环境）污染
antique 古董；古玩
anxious 焦虑的；急切的；渴望的
anymore 再也（不），（不）再
apartment 一套公寓房间；[美]公寓大楼
apologize 道歉；认错
apparently 显然，显而易见地
appearance 出现；外观，外表
appetite 食欲；欲望；爱好；趣味
applause 鼓掌；喝彩
application 应用；申请（表）；[计]应用程序
appoint 任命；委派；约定
appreciate 为……表示感激；重视；赏识；欣赏
approach 接近；临近
appropriate 合适的，适当的
approximately 估计；近似
architecture 建筑学；建筑式样；建筑工程
arithmetic 计算；算术
arouse 唤醒；引起；使……奋发；使……行动起来
arrange 安排；整理；（事先）准备，筹划
artificial 人工的，人造的
ashamed 惭愧的，羞耻的；因怕羞而不愿的
assemble 集合；召集；装配
assign 分配；布置（作业）；指派
associate 使结合在一起；使有联系
assume 假定，想当然地认为；承担；担任；呈现；假装
astronomer 天文学家
attain 达到；获得；到达
attempt 企图；试图；尝试
