# 版本：v1.6.0-pre
abandon 放弃
absolutely 绝对地
accept 接受
acceptable 可接受的
accident 事故
accommodation 住宿
accompany 陪同
account 账户
accurate 准确的
achieve 实现
actress 女演员
action 行动
actually 实际上
addition 增加
address 地址
admission 准许
advanced 高级的
advantage 优势
adventure 冒险
advice 建议
affect 影响
afford 负担得起
afraid 害怕的
agency 机构
air-conditioner 空调
airline 航空公司
airport 机场
almost 几乎
although 尽管
amazing 令人惊奇的
ambulance 救护车
amount 数量
amusing 有趣的
ancient 古老的
animation 动画
announce 宣布
announcement 公告
backache 背痛
background 背景
backpack 背包
baggage 行李
balance 平衡
bandage 绷带
basketball 篮球
battle 战斗
beautiful 美丽的
because 因为
become 变成
behavior 行为
believe 相信
belong 属于
benefit 利益
besides 除此之外
bestseller 畅销书
better 更好的
bicycle 自行车
biology 生物
biscuit 饼干
bookcase 书架
booking 预订
bookshelf 书架
bookshop 书店
border 边界
boring 令人厌倦的
borrow 借
bottle 瓶子
brightness 明亮
brochure 小册子
broken 破碎的
calendar 日历
camera 照相机
cancel 取消
candidate 候选人
capital 首都
carpet 地毯
ceiling 天花板
celebrate 庆祝
cellar 地窖
central 中央的
century 世纪
certain 确定的
challenge 挑战
chance 机会
change 改变
channel 频道
character 角色
charge 充电
cheerful 愉快的
chemistry 化学
choice 选择
church 教堂
circle 圆
citizen 公民
climate 气候
clinic 诊所
clothes 衣服
cloudy 多云的
coffee 咖啡
college 大学
damage 损害
danger 危险
dangerous 危险的
daughter 女儿
decision 决定
declare 宣布
decorate 装饰
decrease 减少
degree 学位
delighted 高兴的
demand 需求
dentist 牙医
department 部门
depend 依靠
describe 描述
desert 沙漠
design 设计
detail 细节
detective 侦探
develop 发展
difference 差异
digital 数字的
dinner 晚餐
direction 方向
district 区域
disturb 打扰
eastern 东方的
economy 经济
educate 教育
education 教育
effect 影响
effort 努力
electric 电的
electricity 电
electronic 电子的
elderly 年长的
election 选举
electrician 电工
elementary 初级的
elephant 大象
emergency 紧急事件
employ 雇佣
employee 员工
employer 雇主
encourage 鼓励
energy 能量
entertainment 娱乐
environment 环境
facility 设施
factory 工厂
failure 失败
fairly 公平地
family 家庭
famous 著名的
fantastic 极好的
farmer 农民
fashion 时尚
fashionable 时尚的
fearful 害怕的
feeling 感觉
female 女性的
fiction 小说
figure 数字
finally 最后
finance 金融
finger 手指
finish 完成
firework 烟火
firmly 坚定地
fisherman 渔夫
fitness 健康
flower 花
gallery 画廊
garbage 垃圾
garden 花园
general 通常的
generation 一代
generous 大方的
gentle 温柔的
geography 地理
German 德国的
glassful 一杯的
gloved 戴手套的
golden 金色的
goodbye 再见
government 政府
grammar 语法
guitar 吉他
gymnast 体操运动员
gymnastics 体操
handbag 手提包
handsome 英俊的
happen 发生
harbor 港口
hardworking 勤奋的
headache 头痛
headline 新闻标题
health 健康
healthy 健康的
heater 加热器
heating 加热
helicopter 直升机
helpful 有帮助的
heroine 女英雄
hidden 隐藏的
high-speed 高速的
history 历史
hockey 曲棍球
holiday 假日
homework 家庭作业
honest 诚实的
honestly 诚实地
hopeful 有希望的
hopefully 希望地
horror 恐怖
horrible 可怕的
hostel 旅馆
housewife 家庭主妇
housework 家务
however 然而
hugely 极大地
humane 人道的
humanity 人性
hunger 饥饿
hunter 猎人
identify 确认
identity 身份
illness 疾病
imagine 想象
imagination 想象力
imagine 想象
imaginable 可想象的
imaginative 富有想象力的
immediate 立即的
immediately 立即地
immigration 移民
import 进口
impossible 不可能的
impatient 不耐烦的
increase 增加
individual 个人的
industry 工业
insist 坚持
instruction 指导
insurance 保险
intent 意图
intention 打算
interesting 有趣的
internationally 国际地
internet 互联网
interview 面试
introduce 介绍
introduction 介绍
invitation 邀请
island 岛屿
Jewish 犹太人的
journey 旅程
junior 年轻的
keyboard 键盘
kindergarten 幼儿园
kitchen 厨房
knowledge 知识
language 语言
laughter 笑声
lawyer 律师
leader 领导者
leather 皮革
lecture 讲座
legend 传奇
lesson 教训
letter 信
library 图书馆
likely 可能的
liquid 液体
listen 听
litter 垃圾
little 小的
lively 活泼的
living 居住的
lonely 孤独的
lovely 可爱的
machine 机器
majority 大多数
manager 经理
mankind 人类
manner 方式
market 市场
marriage 婚姻
material 材料
matter 事情
matter 物质
mature 成熟的
meaning 意义
meanwhile 同时
measure 测量
medicine 药
medium 媒体
member 成员
memory 记忆
mention 提及
message 信息
method 方法
middle 中间的
minute 分钟
mirror 镜子
mission 任务
mister 先生
narrow 狭窄的
nation 国家
national 国家的
native 本地的
nature 自然
naughty 调皮的
nearby 附近的
necessary 必要的
neither 也不
nervous 紧张的
newspaper 报纸
nightmare 噩梦
nobody 没有人
normal 正常的
nothing 没有什么
notice 注意
nowadays 现今
nursery 托儿所
occasion 场合
office 办公室
officer 军官
official 官方的
Olympic 奥林匹克的
opportunity 机会
opposite 相反的
orange 橙色
ordinary 普通的
organization 组织
otherwise 否则
ourselves 我们自己
outdoor 户外的
outside 在外面
overall 总的来说
package 包裹
painter 画家
painting 绘画作品
paperback 平装书
parcel 包裹
parking 停车
partner 伙伴
passenger 乘客
passport 护照
patient 病人
pattern 模式
payment 支付金额
peanut 花生
pencil 铅笔
people 人
pepper 胡椒
percent 百分比
perfect 完美的
performance 表演
period 时期
permission 许可
personal 个人的
physics 物理
picture 图画
player 选手
please 请
pleasure 愉快
police 警察
policy 政策
popular 流行的
position 位置
possible 可能的
pressure 压力
pretty 漂亮的
prevent 防止
priority 优先
prison 监狱
problem 问题
process 过程
produce 生产
product 产品
professional 专业的
progress 进步
promise 承诺
proper 适当的
property 财产
provide 提供
publish 出版
purpose 目的
question 问题
quarter 四分之一
rather 相当
reason 原因
receive 接收
recent 最近的
record 记录
rectify 纠正
reduce 减少
refuse 拒绝
regard 认为
remain 保持
remember 记住
repair 修理
repeat 重复
require 需要
research 研究
restaurant 餐馆
return 归还
review 回顾
reward 奖励
salary 薪水
schedule 日程
science 科学
second 秒
secret 秘密
select 选择
separate 分开的
silent 沉默的
similar 相似的
simple 简单的
sister 姐妹
soldier 士兵
special 特别的
spread 传播
square 正方形
straight 直的
strange 奇怪的
success 成功
support 支持
surprise 惊讶
system 系统
thirty 三十
though 尽管
through 通过
together 一起
tonight 今晚
various 各种各样的
weather 天气
welcome 欢迎
whether 是否
window 窗户
wonder 想知道
yesterday 昨天
yourself 你自己
